time_step,radar_id,target_id,true_target_x,true_target_y,target_velocity_x,target_velocity_y,true_range,true_bearing,true_radial_velocity,measured_range,measured_bearing,measured_radial_velocity,detected_x,detected_y,confidence_score,detection_status,false_alarm_flag,missed_detection_flag,clutter_flag,dropout_flag
11,radar_0,obstacle_0,15.0,5.0,,,15.811,0.3218,,,,,,,,missed,False,True,False,False
12,radar_0,uav_1,14.0,3.6,1.0,0.3,14.455,0.2517,1.043,14.451,0.2427,0.874,14.028,3.473,0.788,detected,False,False,False,False
12,radar_0,obstacle_0,15.0,5.0,,,15.811,0.3218,,15.763,0.3152,,14.986,4.886,0.731,detected,False,False,False,False
13,radar_0,uav_1,15.0,3.9,1.0,0.3,15.499,0.2544,1.043,,,,,,,missed,False,True,False,False
13,radar_0,obstacle_0,15.0,5.0,,,15.811,0.3218,,,,,,,,missed,False,True,False,False
14,radar_0,uav_1,16.0,4.2,1.0,0.3,16.542,0.2567,1.043,16.827,0.2383,0.979,16.352,3.972,0.699,detected,False,False,False,False
14,radar_0,obstacle_0,15.0,5.0,,,15.811,0.3218,,16.027,0.3387,,15.116,5.325,0.731,detected,False,False,False,False
15,radar_0,uav_1,17.0,4.5,1.0,0.3,17.586,0.2588,1.043,17.83,0.2742,1.044,17.164,4.828,0.653,detected,False,False,False,False
15,radar_0,obstacle_0,15.0,5.0,,,15.811,0.3218,,16.104,0.3063,,15.355,4.856,0.731,detected,False,False,False,False
16,radar_0,uav_1,18.0,4.8,1.0,0.3,18.629,0.2606,1.044,18.954,0.2313,1.192,18.45,4.344,0.606,detected,False,False,False,False
16,radar_0,obstacle_0,15.0,5.0,,,15.811,0.3218,,15.905,0.3237,,15.079,5.059,0.731,detected,False,False,False,False
17,radar_0,uav_1,19.0,5.1,1.0,0.3,19.673,0.2622,1.044,19.338,0.2589,1.347,18.694,4.951,0.56,detected,False,False,False,False
17,radar_0,obstacle_0,15.0,5.0,,,15.811,0.3218,,15.858,0.3429,,14.935,5.331,0.731,detected,False,False,False,False
18,radar_0,uav_1,20.0,5.4,1.0,0.3,20.716,0.2637,1.044,21.016,0.2629,0.876,20.294,5.463,0.515,detected,False,False,False,False
18,radar_0,obstacle_0,15.0,5.0,,,15.811,0.3218,,15.884,0.3243,,15.056,5.061,0.731,detected,False,False,False,False
19,radar_0,uav_1,21.0,5.7,1.0,0.3,21.76,0.265,1.044,21.955,0.2873,1.135,21.055,6.221,0.473,detected,False,False,False,False
19,radar_0,obstacle_0,15.0,5.0,,,15.811,0.3218,,16.071,0.3024,,15.342,4.786,0.731,detected,False,False,False,False
